,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.036,-0.044,-0.098,-0.009,0.019,0.053,0.025,-0.015,-0.006,0.143,0.156,-0.094,-0.005,-0.05,-0.161,0.156,0.022,0.161,0.13,-0.059,-0.123,0.003,0.082,-0.128,-0.117,-0.091,0.051,0.039,-0.083,0.012,0.063,-0.042,0.071
ctx-lh-frontal,,,0.071,0.025,0.097,-0.004,0.048,0.074,0.007,0.014,0.127,0.198,-0.085,0.158,0.074,-0.079,0.135,-0.016,0.105,0.154,0.048,0.047,0.081,0.152,0.024,-0.01,0.049,0.104,0.077,0.003,0.121,0.11,0.097,0.076
ctx-lh-inter_precentral,,,,0.026,0.19,0.096,0.216,0.038,0.048,0.013,0.041,0.07,-0.117,0.181,0.059,0.167,0.062,0.052,0.084,0.068,0.046,0.063,0.074,0.187,-0.022,-0.019,0.06,0.082,0.089,0.011,0.165,0.039,0.265,-0.005
ctx-lh-precentral,,,,,-0.073,-0.11,0.045,-0.116,-0.027,0.013,-0.031,-0.067,0.025,-0.02,-0.051,0.007,-0.016,0.025,0.117,0.013,-0.179,-0.073,-0.089,0.07,-0.127,-0.078,0.065,-0.032,0.158,0.076,0.083,0.082,0.046,0.005
ctx-lh-postcentral,,,,,,-0.156,0.153,-0.147,-0.131,-0.051,-0.093,-0.134,-0.036,0.211,-0.02,0.05,0.051,0.064,0.148,0.061,-0.042,-0.087,-0.098,0.084,-0.19,-0.14,-0.073,-0.087,0.052,-0.004,0.119,0.137,0.105,0.128
ctx-lh-inter_postcentral,,,,,,,0.043,-0.165,-0.111,-0.058,-0.083,-0.242,0.153,-0.026,0.047,0.075,0.126,0.15,0.114,0.024,-0.149,-0.135,-0.094,-0.051,-0.158,-0.133,0.103,-0.011,0.123,0.238,-0.018,0.183,-0.063,0.007
ctx-lh-parietal,,,,,,,,-0.14,-0.192,-0.094,0.064,-0.146,0.101,-0.124,0.092,-0.228,0.123,0.066,0.118,0.126,0.12,0.242,-0.033,-0.039,0.008,-0.121,0.068,0.094,0.155,0.056,-0.145,0.169,-0.212,-0.0
ctx-lh-visuopsychic,,,,,,,,,-0.096,0.136,-0.214,-0.146,0.136,-0.164,0.093,0.001,-0.175,-0.039,0.011,-0.057,-0.125,-0.135,-0.05,-0.053,-0.028,0.068,0.07,-0.159,-0.041,0.056,-0.05,-0.013,-0.11,-0.216
ctx-lh-visuosensory,,,,,,,,,,0.145,-0.11,-0.102,0.142,-0.06,-0.009,0.064,-0.06,-0.069,0.032,-0.029,-0.039,-0.085,-0.031,-0.15,-0.111,-0.076,0.072,-0.114,-0.022,0.08,-0.012,0.024,-0.152,-0.108
ctx-lh-temporal,,,,,,,,,,,-0.006,0.012,-0.036,-0.186,-0.018,-0.027,0.089,-0.073,-0.042,0.018,0.027,-0.033,0.07,0.084,0.092,0.256,-0.058,-0.003,-0.064,0.03,-0.198,-0.074,0.139,-0.033
ctx-lh-audiopsychic,,,,,,,,,,,,-0.152,0.039,0.077,-0.128,0.064,-0.04,0.197,0.169,0.043,-0.043,-0.081,0.014,0.069,-0.183,-0.056,0.104,0.015,-0.067,0.096,0.009,-0.034,0.098,0.008
ctx-lh-audiosensory,,,,,,,,,,,,,0.065,0.051,0.044,0.094,-0.174,0.097,0.081,-0.119,-0.1,-0.073,-0.113,-0.119,-0.105,-0.006,0.056,-0.067,-0.029,0.14,0.001,0.106,0.127,-0.18
ctx-lh-olfactory,,,,,,,,,,,,,,-0.023,-0.094,0.015,-0.218,0.016,-0.098,-0.076,0.105,-0.184,0.182,0.138,0.004,0.18,-0.097,-0.296,-0.096,-0.111,-0.107,-0.044,0.038,-0.084
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.024,-0.183,0.257,0.01,0.322,0.225,0.053,0.204,0.07,-0.066,-0.102,-0.085,-0.044,0.094,0.105,-0.097,-0.017,0.031,-0.109,0.097
ctx-lh-limbicB,,,,,,,,,,,,,,,,0.147,0.229,-0.046,0.044,0.045,-0.145,-0.11,-0.035,0.063,-0.056,-0.005,-0.07,-0.057,0.001,-0.066,0.052,0.06,0.031,0.06
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.076,-0.133,0.038,0.21,0.055,0.151,0.052,-0.072,0.038,0.09,-0.033,-0.105,0.123,-0.045,-0.233,0.029,-0.119,0.004
ctx-lh-insula,,,,,,,,,,,,,,,,,,0.178,0.201,0.077,-0.041,0.097,-0.12,-0.104,-0.173,-0.125,0.021,0.054,-0.101,-0.102,0.242,0.048,-0.114,-0.11
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.045,0.109,-0.094,0.06,-0.019,0.013,-0.107,-0.153,-0.012,0.178,0.174,-0.035,-0.001,0.04,-0.076,0.228
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,0.055,0.098,0.2,-0.013,0.13,0.1,0.011,0.012,0.022,0.125,-0.117,0.242,0.06,0.158,0.193
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,-0.022,0.062,-0.055,0.025,-0.058,-0.09,-0.096,-0.055,-0.017,-0.044,0.208,0.111,0.24,-0.054
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.057,-0.129,0.175,-0.155,-0.088,0.093,-0.122,0.002,0.076,0.046,-0.083,0.027,-0.031
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.178,0.081,-0.154,-0.158,-0.037,-0.156,0.038,-0.072,0.23,0.037,0.05,0.013
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.057,-0.178,-0.056,-0.001,-0.086,-0.039,0.044,0.011,0.109,0.106,-0.01
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,-0.145,-0.101,-0.196,-0.023,-0.059,-0.123,0.004,-0.162,-0.121
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.167,0.108,-0.29,-0.049,0.01,0.049,-0.045,-0.118,-0.17
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,-0.109,-0.028,0.222,0.078,-0.045,-0.038,-0.074
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.096,0.06,-0.055,-0.05,-0.075,-0.072,-0.117
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.105,-0.015,0.073,-0.096,-0.041,-0.023
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,0.163,-0.04,0.027,-0.141
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.123,-0.008,0.074,-0.212
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,-0.065,0.04
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,-0.019
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
